country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
MX,Mexico,,,,,,15/02/2020,6,4,6,4,3,-1
MX,Mexico,,,,,,16/02/2020,7,6,7,6,2,-1
MX,Mexico,,,,,,17/02/2020,2,4,3,5,11,-2
MX,Mexico,,,,,,18/02/2020,0,-1,3,2,9,-2
MX,Mexico,,,,,,19/02/2020,0,0,2,3,8,-1
MX,Mexico,,,,,,20/02/2020,0,-1,2,3,7,-1
MX,Mexico,,,,,,21/02/2020,-2,-2,-1,4,11,-1
MX,Mexico,,,,,,22/02/2020,0,0,7,4,4,0
MX,Mexico,,,,,,23/02/2020,2,1,8,7,2,-1
MX,Mexico,,,,,,24/02/2020,-2,0,6,4,8,-1
MX,Mexico,,,,,,25/02/2020,-2,-2,7,2,6,-1
MX,Mexico,,,,,,26/02/2020,-3,-1,3,1,6,-1
MX,Mexico,,,,,,27/02/2020,1,1,0,2,7,-1
MX,Mexico,,,,,,28/02/2020,3,6,3,6,12,-2
MX,Mexico,,,,,,29/02/2020,6,8,5,5,6,-1
MX,Mexico,,,,,,01/03/2020,6,9,7,7,3,-1
MX,Mexico,,,,,,02/03/2020,1,6,2,4,10,-2
MX,Mexico,,,,,,03/03/2020,1,3,2,2,9,-2
MX,Mexico,,,,,,04/03/2020,1,4,2,3,9,-1
MX,Mexico,,,,,,05/03/2020,2,3,3,3,8,-1
MX,Mexico,,,,,,06/03/2020,-1,0,0,3,12,-1
MX,Mexico,,,,,,07/03/2020,1,2,4,2,6,0
MX,Mexico,,,,,,08/03/2020,3,3,10,4,3,0
MX,Mexico,,,,,,09/03/2020,-11,-6,-8,-17,-16,7
MX,Mexico,,,,,,10/03/2020,-2,0,2,3,9,-2
MX,Mexico,,,,,,11/03/2020,-1,2,2,2,8,-1
MX,Mexico,,,,,,12/03/2020,1,4,3,3,8,-2
MX,Mexico,,,,,,13/03/2020,2,6,3,5,5,-1
MX,Mexico,,,,,,14/03/2020,2,10,6,4,3,-1
MX,Mexico,,,,,,15/03/2020,0,7,6,-4,1,-1
MX,Mexico,,,,,,16/03/2020,-11,5,-7,-30,-54,13
MX,Mexico,,,,,,17/03/2020,-7,5,-8,-9,-3,2
MX,Mexico,,,,,,18/03/2020,-13,3,-14,-17,-10,6
MX,Mexico,,,,,,19/03/2020,-17,1,-16,-22,-14,7
MX,Mexico,,,,,,20/03/2020,-23,-3,-22,-26,-14,9
MX,Mexico,,,,,,21/03/2020,-31,-7,-32,-29,-7,9
MX,Mexico,,,,,,22/03/2020,-37,-13,-37,-33,-10,8
MX,Mexico,,,,,,23/03/2020,-31,-14,-30,-37,-29,12
MX,Mexico,,,,,,24/03/2020,-35,-16,-33,-41,-34,14
MX,Mexico,,,,,,25/03/2020,-37,-16,-36,-44,-36,16
MX,Mexico,,,,,,26/03/2020,-37,-17,-36,-46,-37,16
MX,Mexico,,,,,,27/03/2020,-39,-17,-37,-47,-34,17
MX,Mexico,,,,,,28/03/2020,-40,-14,-39,-43,-18,12
MX,Mexico,,,,,,29/03/2020,-45,-19,-46,-47,-20,11
MX,Mexico,,,,,,30/03/2020,-35,-15,-36,-47,-38,15
MX,Mexico,,,,,,31/03/2020,-35,-15,-37,-48,-41,16
MX,Mexico,,,,,,01/04/2020,-37,-13,-39,-50,-44,18
MX,Mexico,,,,,,02/04/2020,-47,-12,-41,-52,-46,19
MX,Mexico,,,,,,03/04/2020,-56,-11,-43,-52,-43,21
MX,Mexico,,,,,,04/04/2020,-57,-11,-46,-48,-27,16
MX,Mexico,,,,,,05/04/2020,-62,-19,-52,-51,-27,13
MX,Mexico,,,,,,06/04/2020,-54,-15,-41,-54,-49,19
MX,Mexico,,,,,,07/04/2020,-53,-18,-42,-56,-52,20
MX,Mexico,,,,,,08/04/2020,-52,-13,-42,-55,-53,20
MX,Mexico,,,,,,09/04/2020,-58,-16,-46,-62,-64,23
MX,Mexico,,,,,,10/04/2020,-71,-30,-57,-72,-72,30
MX,Mexico,,,,,,11/04/2020,-66,-26,-54,-63,-49,20
MX,Mexico,,,,,,12/04/2020,-65,-29,-58,-57,-31,13
MX,Mexico,,,,,,13/04/2020,-54,-20,-45,-56,-49,20
MX,Mexico,,,,,,14/04/2020,-54,-19,-44,-57,-50,21
MX,Mexico,,,,,,15/04/2020,-51,-13,-44,-56,-50,21
MX,Mexico,,,,,,16/04/2020,-51,-15,-45,-57,-51,22
MX,Mexico,,,,,,17/04/2020,-55,-18,-47,-58,-47,24
MX,Mexico,,,,,,18/04/2020,-59,-23,-51,-55,-29,17
MX,Mexico,,,,,,19/04/2020,-62,-28,-56,-56,-26,13
MX,Mexico,,,,,,20/04/2020,-55,-25,-47,-57,-47,20
MX,Mexico,,,,,,21/04/2020,-58,-28,-50,-60,-50,21
MX,Mexico,,,,,,22/04/2020,-58,-27,-51,-60,-50,22
